Email;Address;dominio;Tec;Avg. Session Length;Time on App;Time on Website;Length of Membership;price
matthewgraves@mills-shaffer.com;Berlin;Otro;PC;33,908565031728365;12,914846634589116;39,06886445133981;1,4823596439649784;483,0
oolson@collins.com;Munich;Otro;Portatil;32,53379686092211;12,293365838346629;37,06462119956545;3,6203649883552003;467,0
christianwade@butler.info;Frankfurt;Otro;PC;32,018074010632084;10,079463451952432;38,0706642585136;2,6181653103960847;430,0
joshuaodom@gmail.com;Munich;gmail;Smartphone;32,72836000313375;13,104507242875801;38,878040506759845;2,8200972339734696;555,0
mark81@wagner.com;Munich;Otro;Smartphone;32,30274837339047;12,815392648610311;37,95780983454751;4,615426306527649;466,0
tammy12@gmail.com;Berlin;gmail;Smartphone;34,17951756796679;12,581547729914535;35,444264696393994;3,1370689754806826;548,0
bonnie69@lin.biz;Berlin;Otro;Smartphone;31,936548618448914;11,814128294972196;37,14516822352819;3,202806071553459;439,0
connerjoseph@gmail.com;Berlin;gmail;PC;34,59577669439264;11,332487778094174;35,45986279714474;4,541695256706066;581,0
mosleyjacob@yahoo.com;Berlin;yahoo;Smartphone;33,66599032199544;12,263717676034362;38,86023443032663;3,13952693504287;637,0
dongarcia@hotmail.com;Munich;hotmail;Iphone;33,117218732994786;11,86412635894251;36,582727765406275;3,202531199210734;369,0
carrillojacob@perry-larsen.com;Munich;Otro;PC;32,27184828087499;13,485008988077055;37,55088041321525;3,0863372723173246;449,0
jstark@anderson.com;Berlin;Otro;PC;30,737720372628186;12,636606052000129;36,213763093698624;3,357846842326294;413,0
marshchristopher@zimmerman-villegas.com;Munich;Otro;Portatil;33,088529366211525;11,85766344472502;36,0869343253416;4,806349618785283;501,0
youngbarbara@yahoo.com;Munich;yahoo;Portatil;34,50755099852662;12,893669504071738;37,63575587790592;5,705153970601026;688,0
ilawson@hotmail.com;Frankfurt;hotmail;Iphone;33,50136982210362;13,898081993497069;37,0589128165069;4,130562809236323;380,0
jamesfaulkner@hoffman-wolfe.org;Munich;Otro;Portatil;34,394326648449855;12,807751833234732;38,55103028983871;1,8100798764120298;491,0
crawforderik@price.org;Munich;Otro;PC;32,4971984614607;12,832802836968115;37,67924462448078;2,972271382079821;454,0
wrightpeter@yahoo.com;Berlin;yahoo;PC;33,19033404372265;12,959226091609382;36,144666700041924;3,9185418391589986;626,0
hailey18@yahoo.com;Munich;yahoo;Portatil;32,93133644189654;12,732211588456625;35,60082054911087;5,4859767341605234;638,0
austinthomas@gmail.com;Berlin;gmail;PC;33,81173340621725;11,186808718643787;36,29889307823573;4,301996499354755;565,0
hortonrobert@hotmail.com;Munich;hotmail;PC;33,20061634140451;11,965980266792482;36,831535850846905;3,5490360574269735;373,0
deandanny@yahoo.com;Frankfurt;yahoo;PC;32,64461690576892;12,637557159364277;36,517085763648595;5,226687712532107;627,0
rhonda01@gmail.com;Frankfurt;gmail;Iphone;34,385820292995376;12,729719510423307;36,232109802584205;5,705940716620838;617,0
amberchase@fowler.info;Munich;Otro;Smartphone;33,92529660119954;11,588655423353044;35,25224202243303;3,3920504890738385;492,0
krista86@norton.net;Frankfurt;Otro;Iphone;34,312166997407836;11,810586764578167;37,41413357473937;2,473596120847858;491,0
christopher66@hotmail.com;Munich;hotmail;Iphone;31,625360134830608;13,187910985159364;37,06708996741924;1,4943108951995074;309,0
kennethperry@bowen.org;Frankfurt;Otro;Smartphone;32,518196813999246;11,509253453525043;36,599289087393494;3,0226757598626595;457,0
langmatthew@hotmail.com;Munich;hotmail;Iphone;32,04983939045731;12,238057349986248;38,73086173541955;3,120568914816974;336,0
arice@reynolds.info;Frankfurt;Otro;Iphone;33,56647438959015;12,235659245108506;37,27757337619507;2,532044061507893;476,0
aaron04@yahoo.com;Munich;yahoo;PC;33,70511279750195;10,163179060052556;37,76304108154524;4,778973636034998;642,0
alicia85@lee.com;Munich;Otro;Smartphone;32,88710464561531;12,387184173554845;37,431159098326106;6,401228837806773;513,0
gregoryrussell@yahoo.com;Frankfurt;yahoo;Iphone;32,38625185558597;10,674653472691903;38,006583179477666;3,4015223445155094;604,0
cody68@hotmail.com;Berlin;hotmail;Smartphone;34,48238804881123;13,28303286832567;35,90729842685246;4,968742673728142;420,0
twilliams@gibbs.net;Berlin;Otro;PC;33,15425475700075;11,795886676889108;37,65861690944284;4,520353377496559;500,0
nielsencarmen@harrell.net;Munich;Otro;Smartphone;32,28312306113335;10,902556227019769;36,094241952849465;4,789201624179895;462,0
daniellecuevas@hotmail.com;Berlin;hotmail;Smartphone;33,42874704259606;10,636761083696548;37,57883524203316;2,9263964487266874;356,0
ijones@schaefer-carr.net;Berlin;Otro;Smartphone;33,54123131310037;12,78389178427502;36,430649621049305;4,648199316428601;501,0
mark52@yahoo.com;Frankfurt;yahoo;Smartphone;31,88540629991176;11,281931074103642;37,385317552778375;2,877224878259828;590,0
dwhite@gmail.com;Berlin;gmail;Smartphone;33,25823783380398;11,514949066574868;37,128039498322295;4,662845304002564;540,0
adam75@gmail.com;Berlin;gmail;Portatil;32,8487928288471;10,973162084317348;36,60950715426321;2,8709869096996963;525,0
